year,province,soc_eco_class1,soc_eco_class2,hhdebt_totaldebt,hhdebt_totaldebt_purpose_source,purpose_source_bor,value,unit,attribute,source
2566,พะเยา,ลูกจ้าง,เสมียนพนักงานขายและให้บริการ,จำนวนหนี้สินเฉลี่ยต่อครัวเรือน,จำแนกตามแหล่งเงินกู้,หนี้นอกระบบ,3910.0,บาท,,สำนักงานสถิติแห่งชาติ
2566,พะเยา,ลูกจ้าง,ผู้ปฏิบัติงานในกระบวนการผลิตก่อสร้างและเหมืองแร่,จำนวนครัวเรือนทั้งสิ้น,จำนวนครัวเรือนทั้งสิ้น,จำนวนครัวเรือนทั้งสิ้น,10832.0,ครัวเรือน,,สำนักงานสถิติแห่งชาติ
2566,พะเยา,ลูกจ้าง,ผู้ปฏิบัติงานในกระบวนการผลิตก่อสร้างและเหมืองแร่,จำนวนหนี้สินเฉลี่ยต่อครัวเรือน,จำนวนหนี้สินเฉลี่ยต่อครัวเรือน,จำนวนหนี้สินเฉลี่ยต่อครัวเรือน,69154.0,บาท,,สำนักงานสถิติแห่งชาติ
2566,พะเยา,ลูกจ้าง,ผู้ปฏิบัติงานในกระบวนการผลิตก่อสร้างและเหมืองแร่,จำนวนหนี้สินเฉลี่ยต่อครัวเรือน,จำแนกตามวัตถุประสงค์,ใช้ซื้อ/เช่าซื้อบ้านและ/หรือที่ดิน,4696.0,บาท,,สำนักงานสถิติแห่งชาติ
2566,พะเยา,ลูกจ้าง,ผู้ปฏิบัติงานในกระบวนการผลิตก่อสร้างและเหมืองแร่,จำนวนหนี้สินเฉลี่ยต่อครัวเรือน,จำแนกตามวัตถุประสงค์,ใช้ในการศึกษา,934.0,บาท,,สำนักงานสถิติแห่งชาติ
2566,พะเยา,ลูกจ้าง,ผู้ปฏิบัติงานในกระบวนการผลิตก่อสร้างและเหมืองแร่,จำนวนหนี้สินเฉลี่ยต่อครัวเรือน,จำแนกตามวัตถุประสงค์,ใช้จ่ายอุปโภค บริโภคอื่น ๆ ในครัวเรือน,15621.0,บาท,,สำนักงานสถิติแห่งชาติ
2566,เชียงราย,ลูกจ้าง,เสมียนพนักงานขายและให้บริการ,จำนวนหนี้สินเฉลี่ยต่อครัวเรือน,จำแนกตามวัตถุประสงค์,ใช้ในการศึกษา,6506.0,บาท,,สำนักงานสถิติแห่งชาติ
2566,เชียงราย,ลูกจ้าง,เสมียนพนักงานขายและให้บริการ,จำนวนหนี้สินเฉลี่ยต่อครัวเรือน,จำแนกตามวัตถุประสงค์,ใช้จ่ายอุปโภค บริโภคอื่น ๆ ในครัวเรือน,36266.0,บาท,,สำนักงานสถิติแห่งชาติ
2566,เชียงราย,ลูกจ้าง,เสมียนพนักงานขายและให้บริการ,จำนวนหนี้สินเฉลี่ยต่อครัวเรือน,จำแนกตามวัตถุประสงค์,ใช้ในการทำเกษตร,27260.0,บาท,,สำนักงานสถิติแห่งชาติ
2566,พะเยา,ลูกจ้าง,ผู้ปฏิบัติงานในกระบวนการผลิตก่อสร้างและเหมืองแร่,จำนวนหนี้สินเฉลี่ยต่อครัวเรือน,จำแนกตามวัตถุประสงค์,ใช้ในการทำธุรกิจ,0.0,บาท,ศูนย์ยกกำลังดับเบิลยู หมายถึง ข้อมูลจากการสำรวจตัวอย่างมีค่าเป็น 0,สำนักงานสถิติแห่งชาติ
