year,province,soc_eco_class1,soc_eco_class2,hhindebt_totalindebt,hhindebt_totalindebt_purpose_source,purpose_bor,value,unit,attribute,source
2566,เลย,ลูกจ้าง,คนงานด้านการขนส่งและงานพื้นฐาน,จำนวนหนี้สินเฉลี่ยต่อครัวเรือนที่เป็นหนี้,จำแนกตามวัตถุประสงค์,ใช้ในการทำเกษตร,26959.0,บาท,,สำนักงานสถิติแห่งชาติ
2566,เลย,ลูกจ้าง,คนงานด้านการขนส่งและงานพื้นฐาน,จำนวนหนี้สินเฉลี่ยต่อครัวเรือนที่เป็นหนี้,จำแนกตามวัตถุประสงค์,หนี้อื่น ๆ,25339.0,บาท,,สำนักงานสถิติแห่งชาติ
2566,เลย,ลูกจ้าง,คนงานด้านการขนส่งและงานพื้นฐาน,จำนวนหนี้สินเฉลี่ยต่อครัวเรือนที่เป็นหนี้,จำแนกตามแหล่งเงินกู้,หนี้ในระบบ,151894.0,บาท,,สำนักงานสถิติแห่งชาติ
2566,เลย,ลูกจ้าง,คนงานด้านการขนส่งและงานพื้นฐาน,จำนวนหนี้สินเฉลี่ยต่อครัวเรือนที่เป็นหนี้,จำแนกตามวัตถุประสงค์,ใช้ในการศึกษา,0.0,บาท,ศูนย์ยกกำลังดับเบิลยู หมายถึง ข้อมูลจากการสำรวจตัวอย่างมีค่าเป็น 0,สำนักงานสถิติแห่งชาติ
2566,เลย,ลูกจ้าง,คนงานด้านการขนส่งและงานพื้นฐาน,จำนวนหนี้สินเฉลี่ยต่อครัวเรือนที่เป็นหนี้,จำแนกตามวัตถุประสงค์,ใช้ในการทำธุรกิจ,0.0,บาท,ศูนย์ยกกำลังดับเบิลยู หมายถึง ข้อมูลจากการสำรวจตัวอย่างมีค่าเป็น 0,สำนักงานสถิติแห่งชาติ
2566,เลย,ลูกจ้าง,คนงานด้านการขนส่งและงานพื้นฐาน,จำนวนหนี้สินเฉลี่ยต่อครัวเรือนที่เป็นหนี้,จำแนกตามแหล่งเงินกู้,หนี้นอกระบบ,0.0,บาท,ศูนย์ยกกำลังดับเบิลยู หมายถึง ข้อมูลจากการสำรวจตัวอย่างมีค่าเป็น 0,สำนักงานสถิติแห่งชาติ
2566,เลย,ลูกจ้าง,เสมียนพนักงานขายและให้บริการ,จำนวนครัวเรือนที่เป็นหนี้ทั้งสิ้น,จำนวนครัวเรือนที่เป็นหนี้ทั้งสิ้น,จำนวนครัวเรือนที่เป็นหนี้ทั้งสิ้น,7056.0,ครัวเรือน,,สำนักงานสถิติแห่งชาติ
2566,เลย,ลูกจ้าง,เสมียนพนักงานขายและให้บริการ,จำนวนหนี้สินเฉลี่ยต่อครัวเรือนที่เป็นหนี้,จำนวนหนี้สินเฉลี่ยต่อครัวเรือนที่เป็นหนี้,จำนวนหนี้สินเฉลี่ยต่อครัวเรือนที่เป็นหนี้,771709.0,บาท,,สำนักงานสถิติแห่งชาติ
2566,เลย,ลูกจ้าง,เสมียนพนักงานขายและให้บริการ,จำนวนหนี้สินเฉลี่ยต่อครัวเรือนที่เป็นหนี้,จำแนกตามวัตถุประสงค์,ใช้ซื้อ/เช่าซื้อบ้านและ/หรือที่ดิน,27917.0,บาท,,สำนักงานสถิติแห่งชาติ
2566,เลย,ลูกจ้าง,เสมียนพนักงานขายและให้บริการ,จำนวนหนี้สินเฉลี่ยต่อครัวเรือนที่เป็นหนี้,จำแนกตามวัตถุประสงค์,ใช้ในการศึกษา,4631.0,บาท,,สำนักงานสถิติแห่งชาติ
2566,เลย,ลูกจ้าง,เสมียนพนักงานขายและให้บริการ,จำนวนหนี้สินเฉลี่ยต่อครัวเรือนที่เป็นหนี้,จำแนกตามวัตถุประสงค์,ใช้จ่ายอุปโภคบริโภคอื่น ๆ ในครัวเรือน,557396.0,บาท,,สำนักงานสถิติแห่งชาติ
2566,เลย,ลูกจ้าง,เสมียนพนักงานขายและให้บริการ,จำนวนหนี้สินเฉลี่ยต่อครัวเรือนที่เป็นหนี้,จำแนกตามวัตถุประสงค์,ใช้ในการทำธุรกิจ,150250.0,บาท,,สำนักงานสถิติแห่งชาติ
2566,เลย,ลูกจ้าง,เสมียนพนักงานขายและให้บริการ,จำนวนหนี้สินเฉลี่ยต่อครัวเรือนที่เป็นหนี้,จำแนกตามวัตถุประสงค์,ใช้ในการทำเกษตร,31515.0,บาท,,สำนักงานสถิติแห่งชาติ
2566,เลย,ลูกจ้าง,เสมียนพนักงานขายและให้บริการ,จำนวนหนี้สินเฉลี่ยต่อครัวเรือนที่เป็นหนี้,จำแนกตามวัตถุประสงค์,หนี้อื่น ๆ,0.0,บาท,ศูนย์ยกกำลังดับเบิลยู หมายถึง ข้อมูลจากการสำรวจตัวอย่างมีค่าเป็น 0,สำนักงานสถิติแห่งชาติ
2566,เลย,ลูกจ้าง,เสมียนพนักงานขายและให้บริการ,จำนวนหนี้สินเฉลี่ยต่อครัวเรือนที่เป็นหนี้,จำแนกตามแหล่งเงินกู้,หนี้ในระบบ,771024.0,บาท,,สำนักงานสถิติแห่งชาติ
2566,เลย,ลูกจ้าง,เสมียนพนักงานขายและให้บริการ,จำนวนหนี้สินเฉลี่ยต่อครัวเรือนที่เป็นหนี้,จำแนกตามแหล่งเงินกู้,หนี้นอกระบบ,685.0,บาท,,สำนักงานสถิติแห่งชาติ
