year,province,mthincome_mthexp_totaldebt_pctexptoincome,soc_eco_class1,soc_eco_class2,value,unit,attribute,source
2566,สมุทรปราการ,รายได้ทั้งสิ้นต่อเดือน,ผู้ถือครองทำการเกษตร/เพาะเลี้ยง,ปลูกพืช/เลี้ยงสัตว์/เพาะเลี้ยง_ส่วนใหญ่เป็นเจ้าของที่ดิน,27218.00,บาท,,สำนักงานสถิติแห่งชาติ
2566,สมุทรปราการ,รายได้ทั้งสิ้นต่อเดือน,ผู้ถือครองทำการเกษตร/เพาะเลี้ยง,ปลูกพืช/เลี้ยงสัตว์/เพาะเลี้ยง_ส่วนใหญ่เช่าที่ดิน/ทำฟรี,19828.00,บาท,,สำนักงานสถิติแห่งชาติ
2566,สมุทรปราการ,หนี้สินเฉลี่ยต่อครัวเรือนทั้งสิ้น,ลูกจ้าง,คนงานด้านการขนส่งและงานพื้นฐาน,48221.00,บาท,,สำนักงานสถิติแห่งชาติ
2566,สมุทรปราการ,หนี้สินเฉลี่ยต่อครัวเรือนทั้งสิ้น,ลูกจ้าง,เสมียนพนักงานขายและให้บริการ,139443.00,บาท,,สำนักงานสถิติแห่งชาติ
2566,สมุทรปราการ,หนี้สินเฉลี่ยต่อครัวเรือนทั้งสิ้น,ลูกจ้าง,ผู้ปฏิบัติงานในกระบวนการผลิตก่อสร้างและเหมืองแร่,235856.00,บาท,,สำนักงานสถิติแห่งชาติ
2566,สมุทรปราการ,รายได้ทั้งสิ้นต่อเดือน,ผู้ถือครองทำการเกษตร/เพาะเลี้ยง,ประมงป่าไม้ล่าสัตว์หาของป่าบริการทางการเกษตร,.00,บาท,"ศูนย์ยกกำลังดับเบิลยู หมายถึง ข้อมูลจากการสำรวจตัวอย่างมีค่าเป็น 0",สำนักงานสถิติแห่งชาติ
2566,สมุทรปราการ,รายได้ทั้งสิ้นต่อเดือน,ผู้ประกอบธุรกิจของตนเองที่ไม่ใช่การเกษตร,ผู้ประกอบธุรกิจของตนเองที่ไม่ใช่การเกษตร,29761.00,บาท,,สำนักงานสถิติแห่งชาติ
2566,สมุทรปราการ,รายได้ทั้งสิ้นต่อเดือน,ลูกจ้าง,ผู้จัดการนักวิชาการและผู้ปฏิบัติงานวิชาชีพ,48197.00,บาท,,สำนักงานสถิติแห่งชาติ
2566,สมุทรปราการ,รายได้ทั้งสิ้นต่อเดือน,ลูกจ้าง,คนงานเกษตรป่าไม้และประมง,.00,บาท,"ศูนย์ยกกำลังดับเบิลยู หมายถึง ข้อมูลจากการสำรวจตัวอย่างมีค่าเป็น 0",สำนักงานสถิติแห่งชาติ
2566,สมุทรปราการ,รายได้ทั้งสิ้นต่อเดือน,ลูกจ้าง,คนงานด้านการขนส่งและงานพื้นฐาน,24833.00,บาท,,สำนักงานสถิติแห่งชาติ
2566,สมุทรปราการ,รายได้ทั้งสิ้นต่อเดือน,ลูกจ้าง,เสมียนพนักงานขายและให้บริการ,33273.00,บาท,,สำนักงานสถิติแห่งชาติ
2566,สมุทรปราการ,รายได้ทั้งสิ้นต่อเดือน,ลูกจ้าง,ผู้ปฏิบัติงานในกระบวนการผลิตก่อสร้างและเหมืองแร่,30091.00,บาท,,สำนักงานสถิติแห่งชาติ
2566,สมุทรปราการ,รายได้ทั้งสิ้นต่อเดือน,ผู้ไม่ได้ปฏิบัติงานเชิงเศรษฐกิจ,ผู้ไม่ได้ปฏิบัติงานเชิงเศรษฐกิจ,21292.00,บาท,,สำนักงานสถิติแห่งชาติ
2566,สมุทรปราการ,ค่าใช้จ่ายทั้งสิ้นต่อเดือน,รวมทั้งสิ้น,รวมทั้งสิ้น,27355.00,บาท,,สำนักงานสถิติแห่งชาติ
2566,สมุทรปราการ,ค่าใช้จ่ายทั้งสิ้นต่อเดือน,ผู้ถือครองทำการเกษตร/เพาะเลี้ยง,ปลูกพืช/เลี้ยงสัตว์/เพาะเลี้ยง_ส่วนใหญ่เป็นเจ้าของที่ดิน,20915.00,บาท,,สำนักงานสถิติแห่งชาติ
2566,สมุทรปราการ,ค่าใช้จ่ายทั้งสิ้นต่อเดือน,ผู้ถือครองทำการเกษตร/เพาะเลี้ยง,ปลูกพืช/เลี้ยงสัตว์/เพาะเลี้ยง_ส่วนใหญ่เช่าที่ดิน/ทำฟรี,18521.00,บาท,,สำนักงานสถิติแห่งชาติ
