Year,Region,Area,Source_loan,Purpose_borrow,value,unit,source
2566,ภาคกลาง,รวม,หนี้ในระบบ ,อื่นๆ,8497,ครัวเรือน,สำนักงานสถิติแห่งชาติ
2566,ภาคกลาง,รวม,หนี้นอกระบบ,ใช้ซื้อ/เช่าซื้อบ้านและ/หรือที่ดิน,4056,ครัวเรือน,สำนักงานสถิติแห่งชาติ
2566,ภาคกลาง,รวม,หนี้นอกระบบ,ใช้ในการศึกษา,2369,ครัวเรือน,สำนักงานสถิติแห่งชาติ
2566,ภาคกลาง,รวม,หนี้นอกระบบ,ใช้จ่ายอุปโภคบริโภคอื่นๆ ในครัวเรือน,165528,ครัวเรือน,สำนักงานสถิติแห่งชาติ
2566,ภาคกลาง,รวม,หนี้นอกระบบ,ใช้ในการทำธุรกิจ,41342,ครัวเรือน,สำนักงานสถิติแห่งชาติ
2566,ภาคกลาง,รวม,หนี้นอกระบบ,ใช้ในการทำการเกษตร,19412,ครัวเรือน,สำนักงานสถิติแห่งชาติ
2566,ภาคกลาง,รวม,หนี้นอกระบบ,อื่นๆ,1448,ครัวเรือน,สำนักงานสถิติแห่งชาติ
2566,ภาคกลาง,ในเขตเทศบาล,รวม,รวม,1075634,ครัวเรือน,สำนักงานสถิติแห่งชาติ
2566,ภาคกลาง,ในเขตเทศบาล,หนี้ในระบบ ,ใช้ซื้อ/เช่าซื้อบ้านและ/หรือที่ดิน,230076,ครัวเรือน,สำนักงานสถิติแห่งชาติ
2566,ภาคกลาง,ในเขตเทศบาล,หนี้ในระบบ ,ใช้ในการศึกษา,25425,ครัวเรือน,สำนักงานสถิติแห่งชาติ
2566,ภาคกลาง,ในเขตเทศบาล,หนี้ในระบบ ,ใช้จ่ายอุปโภคบริโภคอื่นๆ ในครัวเรือน,805836,ครัวเรือน,สำนักงานสถิติแห่งชาติ
2566,ภาคกลาง,ในเขตเทศบาล,หนี้ในระบบ ,ใช้ในการทำธุรกิจ,58141,ครัวเรือน,สำนักงานสถิติแห่งชาติ
2566,ภาคกลาง,ในเขตเทศบาล,หนี้ในระบบ ,ใช้ในการทำการเกษตร,70926,ครัวเรือน,สำนักงานสถิติแห่งชาติ
2566,ภาคกลาง,ในเขตเทศบาล,หนี้ในระบบ ,อื่นๆ,2969,ครัวเรือน,สำนักงานสถิติแห่งชาติ
2566,ภาคกลาง,ในเขตเทศบาล,หนี้นอกระบบ,ใช้ซื้อ/เช่าซื้อบ้านและ/หรือที่ดิน,1211,ครัวเรือน,สำนักงานสถิติแห่งชาติ
2566,ภาคกลาง,ในเขตเทศบาล,หนี้นอกระบบ,ใช้ในการศึกษา,1836,ครัวเรือน,สำนักงานสถิติแห่งชาติ
2566,ภาคกลาง,ในเขตเทศบาล,หนี้นอกระบบ,ใช้จ่ายอุปโภคบริโภคอื่นๆ ในครัวเรือน,66428,ครัวเรือน,สำนักงานสถิติแห่งชาติ
2566,ภาคกลาง,ในเขตเทศบาล,หนี้นอกระบบ,ใช้ในการทำธุรกิจ,17868,ครัวเรือน,สำนักงานสถิติแห่งชาติ
2566,ภาคกลาง,ในเขตเทศบาล,หนี้นอกระบบ,ใช้ในการทำการเกษตร,3477,ครัวเรือน,สำนักงานสถิติแห่งชาติ
2566,ภาคกลาง,ในเขตเทศบาล,หนี้นอกระบบ,อื่นๆ,453,ครัวเรือน,สำนักงานสถิติแห่งชาติ
2566,ภาคกลาง,นอกเขตเทศบาล,รวม,รวม,1482729,ครัวเรือน,สำนักงานสถิติแห่งชาติ
2566,ภาคกลาง,นอกเขตเทศบาล,หนี้ในระบบ ,ใช้ซื้อ/เช่าซื้อบ้านและ/หรือที่ดิน,135975,ครัวเรือน,สำนักงานสถิติแห่งชาติ
2566,ภาคกลาง,นอกเขตเทศบาล,หนี้ในระบบ ,ใช้ในการศึกษา,39864,ครัวเรือน,สำนักงานสถิติแห่งชาติ
2566,ภาคกลาง,นอกเขตเทศบาล,หนี้ในระบบ ,ใช้จ่ายอุปโภคบริโภคอื่นๆ ในครัวเรือน,1029707,ครัวเรือน,สำนักงานสถิติแห่งชาติ
2566,ภาคกลาง,นอกเขตเทศบาล,หนี้ในระบบ ,ใช้ในการทำธุรกิจ,106318,ครัวเรือน,สำนักงานสถิติแห่งชาติ
2566,ภาคกลาง,นอกเขตเทศบาล,หนี้ในระบบ ,ใช้ในการทำการเกษตร,286329,ครัวเรือน,สำนักงานสถิติแห่งชาติ
2566,ภาคกลาง,นอกเขตเทศบาล,หนี้ในระบบ ,อื่นๆ,5528,ครัวเรือน,สำนักงานสถิติแห่งชาติ
